card_date,red_name,blue_name,method,division,sig_str_total_red,sig_str_landed_red,sig_str_total_blue,sig_str_landed_blue,total_str_total_red,total_str_landed_red,total_str_total_blue,total_str_landed_blue,td_total_red,td_landed_red,td_total_blue,td_landed_blue,sub_att_red,sub_att_blue,rev_red,rev_blue,ctrl_red,ctrl_blue,head_str_total_red,head_str_landed_red,head_str_total_blue,head_str_landed_blue,body_str_total_red,body_str_landed_red,body_str_total_blue,body_str_landed_blue,leg_str_total_red,leg_str_landed_red,leg_str_total_blue,leg_str_landed_blue,distance_str_total_red,distance_str_landed_red,distance_str_total_blue,distance_str_landed_blue,clinch_str_total_red,clinch_str_landed_red,clinch_str_total_blue,clinch_str_landed_blue,ground_str_total_red,ground_str_landed_red,ground_str_total_blue,ground_str_landed_blue,max_bout_duration,actual_bout_duration,red_win,blue_win
2023-02-04,SeungGuk Choi,HyunSung Park,Submission,Flyweight,69,20,91,38,83,30,125,59,2,0,3,1,0,3,0,0,158,107,54,12,61,20,5,3,3,1,10,5,27,17,67,20,88,37,2,0,3,1,0,0,0,0,900,791,No,Yes
2023-02-04,JunYong Park,Denis Tiuliulin,Submission,Middleweight,38,25,22,8,52,38,22,8,3,1,0,0,1,0,0,0,178,0,33,20,16,4,1,1,6,4,4,4,0,0,27,15,22,8,0,0,0,0,11,10,0,0,900,245,Yes,No
2023-02-04,Tatsuro Taira,Jesus Aguilar,Submission,Flyweight,1,1,2,2,5,5,2,2,1,1,0,0,2,1,0,0,229,23,1,1,0,0,0,0,1,1,0,0,1,1,0,0,2,2,0,0,0,0,1,1,0,0,900,260,Yes,No
2023-01-21,Glover Teixeira,Jamahal Hill,Decision - Unanimous,UFC Light Heavyweight Title,160,75,402,232,196,108,419,248,17,2,0,0,0,0,0,1,206,206,136,52,343,180,20,19,49,42,4,4,10,10,145,65,347,188,6,5,21,18,9,5,34,26,1500,1500,No,Yes
2023-01-21,Deiveson Figueiredo,Brandon Moreno,TKO - Doctor's Stoppage,UFC Flyweight Title,43,19,74,48,48,24,111,85,2,1,6,3,2,0,0,0,35,412,30,8,61,37,9,8,9,7,4,3,4,4,35,15,52,34,0,0,6,3,8,4,16,11,1500,900,No,Yes
2023-01-21,Gilbert Burns,Neil Magny,Submission,Welterweight,6,5,11,4,12,10,11,4,1,1,0,0,1,0,0,0,155,0,5,4,8,2,1,1,2,1,0,0,1,1,4,3,11,4,0,0,0,0,2,2,0,0,900,255,Yes,No
2023-01-21,Lauren Murphy,Jessica Andrade,Decision - Unanimous,Women's Flyweight,293,100,369,231,296,103,375,237,15,0,1,1,0,0,0,0,9,71,268,81,292,161,19,14,27,23,6,5,50,47,276,90,338,208,17,10,30,22,0,0,1,1,900,900,No,Yes
2023-01-21,Paul Craig,Johnny Walker,KO/TKO,Light Heavyweight,8,3,20,16,8,3,21,17,0,0,0,0,0,0,0,0,0,4,3,0,16,12,2,1,1,1,3,2,3,3,8,3,9,6,0,0,5,5,0,0,6,5,900,136,No,Yes
2023-01-21,Mauricio Rua,Ihor Potieria,KO/TKO,Light Heavyweight,31,17,41,21,35,21,47,27,0,0,2,0,0,0,0,0,1,38,17,4,35,16,4,3,4,3,10,10,2,2,31,17,31,13,0,0,6,5,0,0,4,3,900,245,No,Yes
2023-01-21,Gregory Rodrigues,Brunno Ferreira,KO/TKO,Middleweight,41,21,45,22,41,21,46,23,0,0,2,0,0,0,0,0,10,1,35,16,37,15,6,5,3,2,0,0,5,5,39,19,43,20,2,2,1,1,0,0,1,1,900,253,No,Yes
2023-01-21,Thiago Moises,Melquizael Costa,Submission,Lightweight,33,22,50,23,58,45,71,43,7,4,0,0,1,0,0,0,331,2,25,14,19,2,7,7,18,10,1,1,13,11,21,11,45,21,2,1,5,2,10,10,0,0,900,545,Yes,No
2023-01-21,Gabriel Bonfim,Mounir Lazzez,Submission,Welterweight,22,9,13,9,22,9,13,9,0,0,1,0,1,0,0,0,4,0,18,6,4,0,2,2,4,4,2,1,5,5,22,9,13,9,0,0,0,0,0,0,0,0,900,49,Yes,No
2023-01-21,Shamil Abdurakhimov,Jailton Almeida,KO/TKO,Heavyweight,1,1,57,45,3,3,110,89,0,0,5,3,0,0,0,0,0,448,1,1,55,44,0,0,0,0,0,0,2,1,1,1,5,1,0,0,0,0,0,0,52,44,900,476,No,Yes
2023-01-21,Luan Lacerda,Cody Stamann,Decision - Unanimous,Bantamweight,181,80,189,103,187,85,195,108,4,1,2,0,0,0,0,0,94,0,113,31,139,62,61,44,38,29,7,5,12,12,181,80,186,101,0,0,3,2,0,0,0,0,900,900,No,Yes
2023-01-21,Ismael Bonfim,Terrance McKinney,KO/TKO,Lightweight,49,34,49,14,53,38,55,20,4,1,2,0,0,0,0,0,47,136,30,16,43,10,17,16,6,4,2,2,0,0,39,24,45,12,10,10,2,0,0,0,2,2,900,437,Yes,No
2023-01-21,Warlley Alves,Nicolas Dalby,Decision - Split,Welterweight,144,66,248,119,153,75,298,167,3,1,1,0,0,0,0,0,129,242,117,45,195,75,12,7,41,35,15,14,12,9,138,62,212,86,6,4,35,32,0,0,1,1,900,900,No,Yes
2023-01-21,Josiane Nunes,Zarah Fairn,Decision - Unanimous,Women's Featherweight,211,102,251,117,216,107,256,122,0,0,0,0,0,0,0,0,122,8,150,58,220,89,52,38,20,17,9,6,11,11,180,82,238,107,31,20,13,10,0,0,0,0,900,900,Yes,No
2023-01-21,Saimon Oliveira,Daniel Marcos,KO/TKO,Bantamweight,70,23,78,53,73,25,84,59,5,0,1,0,0,0,0,0,135,60,47,7,52,31,7,3,23,20,16,13,3,2,63,20,58,36,7,3,19,16,0,0,1,1,900,438,No,Yes
2023-01-14,Sean Strickland,Nassourdine Imavov,Decision - Unanimous,Light Heavyweight,405,182,269,123,420,194,277,131,1,1,1,0,0,0,0,0,252,12,347,134,207,67,48,38,46,41,10,10,16,15,396,175,248,104,9,7,21,19,0,0,0,0,1500,1500,Yes,No
2023-01-14,Dan Ige,Damon Jackson,KO/TKO,Featherweight,74,34,100,36,81,40,102,38,1,1,1,0,0,0,0,0,18,1,54,17,81,22,15,13,15,10,5,4,4,4,65,28,92,32,9,6,8,4,0,0,0,0,900,553,Yes,No
2023-01-14,Punahele Soriano,Roman Kopylov,KO/TKO,Middleweight,107,39,128,82,107,39,128,82,3,0,1,1,0,0,0,0,6,10,101,35,101,56,6,4,15,14,0,0,12,12,98,33,120,76,9,6,8,6,0,0,0,0,900,499,No,Yes
2023-01-14,Ketlen Vieira,Raquel Pennington,Decision - Split,Women's Bantamweight,152,64,159,81,230,138,184,104,0,0,2,0,0,0,0,0,285,78,122,41,111,37,10,5,35,32,20,18,13,12,143,56,134,59,9,8,25,22,0,0,0,0,900,900,No,Yes
2023-01-14,Umar Nurmagomedov,Raoni Barcelos,KO/TKO,Bantamweight,51,36,24,13,51,36,25,14,0,0,1,0,0,0,0,0,2,0,32,20,17,6,13,12,5,5,6,4,2,2,50,35,21,10,0,0,3,3,1,1,0,0,900,280,Yes,No
2023-01-14,Javid Basharat,Mateus Mendonca,Decision - Unanimous,Bantamweight,130,95,88,29,164,125,133,70,5,3,11,2,0,0,0,0,319,139,93,62,72,21,28,25,6,3,9,8,10,5,90,60,83,25,14,10,2,2,26,25,3,2,900,900,Yes,No
2023-01-14,Claudio Ribeiro,Abdul Razak Alhassan,KO/TKO,Middleweight,31,19,28,17,54,42,41,30,0,0,2,0,0,0,0,0,16,188,18,6,24,13,3,3,4,4,10,10,0,0,29,17,20,9,2,2,8,8,0,0,0,0,900,328,No,Yes
2023-01-14,Mateusz Rebecki,Nick Fiore,Decision - Unanimous,Lightweight,171,89,93,34,228,130,113,52,4,3,3,1,0,0,0,0,507,34,125,53,76,25,37,27,13,7,9,9,4,2,138,63,83,28,10,4,9,5,23,22,1,1,900,900,Yes,No
2023-01-14,Allan Nascimento,Carlos Hernandez,Submission,Flyweight,11,6,7,3,14,9,7,3,4,2,0,0,1,0,0,0,143,0,5,2,5,2,3,2,2,1,3,2,0,0,11,6,7,3,0,0,0,0,0,0,0,0,900,196,Yes,No
2023-01-14,Dan Argueta,Nick Aguirre,Decision - Unanimous,Featherweight,85,47,44,14,144,93,47,15,6,4,0,0,2,1,1,1,614,75,65,29,42,14,10,9,1,0,10,9,1,0,55,27,42,13,9,6,2,1,21,14,0,0,900,900,Yes,No
2023-01-14,Charles Johnson,Jimmy Flick,KO/TKO,Flyweight,57,34,13,7,77,44,13,7,0,0,3,1,0,0,1,0,99,24,39,20,6,3,14,10,4,3,4,4,3,1,38,22,13,7,0,0,0,0,19,12,0,0,900,273,Yes,No
2022-12-17,Jared Cannonier,Sean Strickland,Decision - Split,Middleweight,310,141,400,152,310,141,410,157,0,0,1,1,0,0,0,0,0,48,187,57,365,126,88,60,32,24,35,24,3,2,310,141,400,152,0,0,0,0,0,0,0,0,1500,1500,Yes,No
2022-12-17,Arman Tsarukyan,Damir Ismagulov,Decision - Unanimous,Lightweight,81,34,86,36,105,50,106,51,21,7,0,0,0,0,0,0,565,6,57,14,60,18,15,12,21,15,9,8,5,3,76,31,74,26,4,2,11,10,1,1,1,0,900,900,Yes,No
2022-12-17,Amir Albazi,Alessandro Costa,KO/TKO,Flyweight,81,37,71,17,110,62,107,38,4,1,0,0,0,0,0,0,354,0,67,23,55,6,10,10,10,6,4,4,6,5,58,23,70,16,0,0,1,1,23,14,0,0,900,733,Yes,No
2022-12-17,Alex Caceres,Julian Erosa,KO/TKO,Featherweight,30,16,22,10,30,16,22,10,0,0,0,0,0,0,0,0,5,0,19,9,11,2,6,3,4,3,5,4,7,5,24,13,22,10,0,0,0,0,6,3,0,0,900,184,Yes,No
2022-12-17,Drew Dober,Bobby Green,KO/TKO,Lightweight,121,34,142,73,121,34,145,75,1,0,1,0,0,0,0,0,7,11,86,16,113,50,21,9,22,17,14,9,7,6,119,33,141,72,1,0,1,1,1,1,0,0,900,465,Yes,No
2022-12-17,Cody Brundage,Michal Oleksiejczuk,KO/TKO,Middleweight,2,0,29,15,3,1,40,25,3,3,0,0,0,0,0,1,113,72,2,0,27,13,0,0,2,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,28,15,900,196,No,Yes
2022-12-17,Cheyanne Vlismas,Cory McKenna,Decision - Unanimous,Women's Strawweight,74,33,81,22,113,66,216,103,0,0,3,2,1,0,0,0,3,581,54,20,72,17,13,8,7,3,7,5,2,2,63,23,76,18,3,3,3,2,8,7,2,2,900,900,No,Yes
2022-12-17,Jake Matthews,Matthew Semelsberger,Decision - Unanimous,Welterweight,89,32,116,45,140,74,129,54,2,1,5,3,1,0,0,0,102,256,77,23,89,34,9,6,18,7,3,3,9,4,85,30,80,26,3,2,7,6,1,0,29,13,900,900,No,Yes
2022-12-17,Said Nurmagomedov,Saidyokub Kakhramonov,Submission,Bantamweight,18,7,30,11,34,21,65,32,2,0,12,5,3,1,0,0,25,472,12,3,27,8,5,3,3,3,1,1,0,0,12,3,10,5,6,4,1,0,0,0,19,6,900,530,Yes,No
2022-12-17,Rafa Garcia,Maheshate,Decision - Unanimous,Lightweight,98,49,141,25,138,79,148,30,11,6,0,0,0,0,0,0,370,0,70,29,110,16,17,11,29,8,11,9,2,1,64,28,138,23,13,11,2,1,21,10,1,1,900,900,Yes,No
