card_date,card_name,red_name,blue_name,winner_name,loser_name,winner_color,loser_color,match_result,num_rounds,time,method,time_format,referee_name,division,sig_str_total_red,sig_str_landed_red,sig_str_total_blue,sig_str_landed_blue,total_str_total_red,total_str_landed_red,total_str_total_blue,total_str_landed_blue,td_total_red,td_landed_red,td_total_blue,td_landed_blue,sub_att_red,sub_att_blue,rev_red,rev_blue,ctrl_red,ctrl_blue,head_str_total_red,head_str_landed_red,head_str_total_blue,head_str_landed_blue,body_str_total_red,body_str_landed_red,body_str_total_blue,body_str_landed_blue,leg_str_total_red,leg_str_landed_red,leg_str_total_blue,leg_str_landed_blue,distance_str_total_red,distance_str_landed_red,distance_str_total_blue,distance_str_landed_blue,clinch_str_total_red,clinch_str_landed_red,clinch_str_total_blue,clinch_str_landed_blue,ground_str_total_red,ground_str_landed_red,ground_str_total_blue,ground_str_landed_blue
"February 11, 2023",UFC 284: Makhachev vs. Volkanovski,Zubaira Tukhugov,Elves Brener,Elves Brener,Zubaira Tukhugov,blue,red,W/L,3,5:00,Decision - Split,3,Matt Wynne,Lightweight,169,70,157,69,172,73,170,82,4,0,3,0,0,0,0,0,2:11,0:00,160,64,101,30,7,4,35,23,2,2,21,16,167,68,153,66,2,2,4,3,0,0,0,0
"February 04, 2023",UFC Fight Night: Lewis vs. Spivac,Derrick Lewis,Serghei Spivac,Serghei Spivac,Derrick Lewis,blue,red,W/L,1,3:05,Submission,5,Marc Goddard,Heavyweight,3,0,21,12,3,0,54,36,0,0,8,6,0,1,0,0,0:00,2:32,2,0,21,12,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,18,12
"February 04, 2023",UFC Fight Night: Lewis vs. Spivac,Da Woon Jung,Devin Clark,Devin Clark,Da Woon Jung,blue,red,W/L,3,5:00,Decision - Unanimous,3,Keith Peterson,Light Heavyweight,52,18,70,39,78,43,136,96,5,1,11,3,0,0,0,0,5:48,5:02,42,11,51,22,9,6,6,5,1,1,13,12,36,7,52,26,16,11,14,11,0,0,4,2
"February 04, 2023",UFC Fight Night: Lewis vs. Spivac,Marcin Tybura,Blagoy Ivanov,Marcin Tybura,Blagoy Ivanov,red,blue,W/L,3,5:00,Decision - Unanimous,3,Mark Smith,Heavyweight,103,40,113,34,133,61,113,34,1,1,0,0,0,0,0,0,4:55,0:00,70,12,98,24,24,19,15,10,9,9,0,0,102,39,112,34,0,0,1,0,1,1,0,0
"February 04, 2023",UFC Fight Night: Lewis vs. Spivac,Dooho Choi,Kyle Nelson,None,None,none,none,D,3,5:00,Decision - Majority,3,Chris Tognoni,Featherweight,78,50,58,20,114,79,80,39,0,0,10,5,0,0,1,0,3:58,5:34,37,11,41,10,24,23,10,7,17,16,7,3,54,27,54,17,2,2,4,3,22,21,0,0
"February 04, 2023",UFC Fight Night: Lewis vs. Spivac,Yusaku Kinoshita,Adam Fugitt,Adam Fugitt,Yusaku Kinoshita,blue,red,W/L,1,4:36,KO/TKO,3,Keith Peterson,Welterweight,24,10,33,21,25,11,54,33,1,0,7,4,0,0,0,0,0:01,2:53,20,6,23,16,1,1,7,4,3,3,3,1,24,10,22,11,0,0,4,4,0,0,7,6
"February 04, 2023",UFC Fight Night: Lewis vs. Spivac,Jeka Saragih,Anshul Jubli,Anshul Jubli,Jeka Saragih,blue,red,W/L,2,3:44,KO/TKO,3,Marc Goddard,Lightweight,25,14,51,38,40,20,99,74,0,0,5,2,0,1,0,0,0:09,7:07,10,2,47,36,4,3,3,1,11,9,1,1,20,10,14,6,3,2,0,0,2,2,37,32
"February 04, 2023",UFC Fight Night: Lewis vs. Spivac,JeongYeong Lee,Yi Zha,JeongYeong Lee,Yi Zha,red,blue,W/L,3,5:00,Decision - Split,3,Mark Smith,Featherweight,57,25,58,24,105,66,74,37,0,0,21,5,0,0,0,0,0:50,8:19,50,18,48,17,7,7,9,6,0,0,1,1,49,18,46,13,8,7,7,7,0,0,5,4
"February 04, 2023",UFC Fight Night: Lewis vs. Spivac,Toshiomi Kazama,Rinya Nakamura,Rinya Nakamura,Toshiomi Kazama,blue,red,W/L,1,0:33,KO/TKO,3,Keith Peterson,Bantamweight,10,4,25,11,10,4,25,11,0,0,0,0,0,0,0,0,0:00,0:03,10,4,25,11,0,0,0,0,0,0,0,0,10,4,24,10,0,0,0,0,0,0,1,1
"February 04, 2023",UFC Fight Night: Lewis vs. Spivac,SeungGuk Choi,HyunSung Park,HyunSung Park,SeungGuk Choi,blue,red,W/L,3,3:11,Submission,3,Marc Goddard,Flyweight,69,20,91,38,83,30,125,59,2,0,3,1,0,3,0,0,2:38,1:47,54,12,61,20,5,3,3,1,10,5,27,17,67,20,88,37,2,0,3,1,0,0,0,0
